Country,Population
World,8021407192
India,1425423212
China[a],1425179569
United States,341534046
Indonesia,278830529
Pakistan,243700667
Nigeria,223150896
Brazil,210306415
Bangladesh,169384897
Russia,145579899
Mexico,128613117
Ethiopia,125384287
Japan,124997578
Philippines,113964338
Egypt,112618250
DR Congo,102396968
Vietnam,99680655
Iran,89524246
Turkey,87058473
Germany,84086227
Thailand,71735329
United Kingdom,68179315
Tanzania[b],64711821
France[c],66277409
South Africa,62378410
Italy,59619115
Kenya,54252461
Myanmar,53756787
Colombia,51737944
South Korea,51782512
Sudan,49383346
Uganda,47312719
Spain[d],47828382
Algeria,45477389
Argentina,45407904
Iraq,44070551
Afghanistan,40578842
Yemen,38222876
Canada,38821259
Poland,38385739
Ukraine[e],41048766
Morocco,37329064
Angola,35635029
Uzbekistan,34938955
Malaysia,34695493
Peru,33475438
Ghana,33149152
Mozambique,32656246
Saudi Arabia,32175352
Madagascar,30437261
Ivory Coast,30395002
Nepal,29715436
Cameroon,27632771
Venezuela,28213017
Australia[f],26200984
North Korea,26329845
Niger,25311973
Mali,23072640
Syria,22462173
Taiwan[g],23420111
Burkina Faso,22509038
Sri Lanka,22834965
Malawi,20568728
Zambia,20152938
Kazakhstan,20034609
Chile,19553036
Chad,18455316
Romania,19166772
Somalia[h],17801897
Guatemala,17847877
Senegal,17651103
Netherlands[i],17904421
Ecuador,17823897
Cambodia,17201724
Zimbabwe,16069056
Guinea,14055137
Benin,13759501
Rwanda,13651030
Burundi,13321097
Bolivia,12077154
Tunisia,12119334
Belgium,11641820
Haiti,11503606
South Sudan,11021177
Jordan,11256263
Dominican Republic,11230734
Cuba,11059820
Czechia,10673213
Honduras,10463872
United Arab Emirates,10242086
Sweden,10487338
Portugal[j],10417073
Tajikistan,10182222
Papua New Guinea,10203169
Azerbaijan,10295304
Greece,10412480
Hungary,9964306
Togo,9089738
Israel,9103151
Austria,9064677
Belarus,9173237
Switzerland,8792182
Sierra Leone,8276807
Laos,7559007
Hong Kong (China)[k],7465915
Turkmenistan,7230193
Libya,7223805
Kyrgyzstan,6955788
Paraguay,6760464
Nicaragua,6730654
Bulgaria,6825864
Serbia[l],6791213
El Salvador,6280319
Congo,6035104
Denmark,5902904
Singapore,5649885
Lebanon,5744489
Finland[m],5569299
Norway[n],5457801
Slovakia,5473197
Liberia,5373294
Palestine[o],5305270
Ireland,5110016
New Zealand,5131734
Central African Republic,5098039
Costa Rica,5081765
Oman,4730226
Mauritania,4875637
Kuwait,4589511
Panama,4400773
Croatia,3907027
Georgia[p],3794784
Eritrea,3409447
Mongolia,3386015
Uruguay,3390913
Puerto Rico (United States),3240968
Bosnia and Herzegovina,3204802
Moldova[q],3039985
Qatar,2892455
Namibia,2889662
Armenia,2880874
Lithuania,2816919
Jamaica,2839144
Albania,2827608
Gambia,2636470
Gabon,2430747
Botswana,2439892
Lesotho,2286110
Guinea-Bissau,2105529
Slovenia,2115228
Latvia,1881063
Equatorial Guinea,1803545
North Macedonia,1840233
Kosovo[r],1717946
Bahrain,1533459
Trinidad and Tobago,1495921
Timor-Leste,1369295
Estonia,1350091
Cyprus[s],1331370
Mauritius,1276130
Eswatini,1218917
Djibouti,1137096
Fiji,919422
Réunion (France),871540
Comoros,834188
Guyana,821637
Solomon Islands,781066
Bhutan,780914
Macao (China)[t],704356
Luxembourg,653313
Montenegro,614648
Suriname,623164
Western Sahara (disputed),568739
Malta,528192
Maldives,524106
Cape Verde,519741
Brunei,455370
Belize,402733
Bahamas,397538
Iceland,380356
Guadeloupe (France),384697
Martinique (France),349459
Vanuatu,313046
Mayotte (France),305269
French Guiana (France),298306
New Caledonia (France),287123
Barbados,288318
French Polynesia (France),280378
São Tomé and Príncipe,226305
Samoa,215261
Curaçao (Netherlands),185345
Saint Lucia,178781
Guam (United States),165180
Kiribati,130469
Seychelles,125522
Grenada,116913
Micronesia,112114
Tonga,105042
Aruba (Netherlands),107782
Jersey (United Kingdom),103490
Saint Vincent and the Grenadines,102046
Antigua and Barbuda,92840
U.S. Virgin Islands (United States),86507
Isle of Man (United Kingdom),84132
Andorra,79705
Cayman Islands (United Kingdom),71591
Dominica,66826
Bermuda (United Kingdom),64749
Guernsey (United Kingdom),63725
Greenland (Denmark),54990
Faroe Islands (Denmark),54011
American Samoa (United States),48342
Saint Kitts and Nevis,46709
Turks and Caicos Islands (United Kingdom),45847
Northern Mariana Islands (United States),46078
Sint Maarten (Netherlands),42139
Liechtenstein,39317
British Virgin Islands (United Kingdom),38319
Monaco,38931
Gibraltar (United Kingdom),37609
Marshall Islands,40077
San Marino,34090
Caribbean Netherlands (Netherlands)[u],28627
Saint Martin (France),28870
Palau,17759
Anguilla (United Kingdom),14180
Cook Islands (New Zealand),14723
Nauru,11801
Wallis and Futuna (France),11478
Saint Barthélemy (France),10920
Tuvalu,9992
Saint Pierre and Miquelon (France),5732
Saint Helena (United Kingdom)[v],5343
Montserrat (United Kingdom),4453
Falkland Islands (United Kingdom),3490
Tokelau (New Zealand),2290
Niue (New Zealand),1821
Vatican City[w],505
